periodo,molienda_cereales_y_oleaginosas,resto_de_alimentos,bebidas,tabaco,textil_indumentaria_y_cuero,madera_papel_y_edicion,refinacion_de_petroleo,quimicos,caucho_y_plastico,minerales_no_metalicos,metales_basicos,metalmecanica,automotriz,resto_de_industria,total_industria
2015-10-01,106472.669,139196.1170000001,49979.37299999999,3705.86,78251.899,121403.9989999999,68573.90000000001,217125.7640000001,86327.52500000001,192269.934,312839.4390000001,25433.53400000001,38960.874,1033.801,1441574.688000001
2015-11-01,105090.6480000001,136908.429,50568.075,3601.28,79065.26999999996,120353.418,68479.89599999999,215604.1070000001,88542.03599999999,185146.193,280676.5109999999,25504.407,38652.001,1154.733,1399347.004
2015-12-01,95628.47500000002,139089.894,56862.79700000002,3982.05,67721.16499999994,113233.272,72237.761,219761.6789999999,78697.46400000004,181306.484,228701.132,22549.248,34652.882,1119.799,1315544.102
2016-01-01,107988.865,138989.7760000001,56911.57900000001,4236.05,57961.88400000003,115401.504,72325.79300000001,215140.529,78881.28099999999,168124.18,197977.748,21131.89,32683.945,1168.826,1268923.85
2016-02-01,93954.91300000002,142039.621,54697.24900000002,4279.349999999999,73232.12500000007,110698.402,67963.524,205733.7500000001,77615.70600000002,166315.814,202687.0330000001,22605.726,36780.47199999999,1151.553,1259755.238000001
2016-03-01,112241.478,148410.2339999999,53705.31500000001,4679.590000000001,78258.39500000002,107503.481,72954.25100000003,214771.096,85981.19200000002,173436.089,184226.846,23837.64600000001,41679.202,1076.207,1302761.022
2016-04-01,110470.128,141367.637,47083.215,4554.12,74667.133,112553.904,70050.21000000002,207064.393,83696.18399999999,170146.2980000001,182934.114,23994.348,38886.311,1119.355,1268587.35
2016-05-01,114854.076,137549.624,40335.33599999999,4401.87,70368.99900000003,111818.023,70264.982,216937.9029999999,79647.32200000003,165799.172,215841.17,23588.979,38711.95799999999,1074.897,1291194.311
2016-06-01,114082.709,131263.756,34444.33399999999,3761.74,67433.35700000002,109722.808,64287.99200000001,183344.64,73865.18800000005,159982.499,210067.5409999999,22081.153,37842.24199999998,1100.416,1213280.375
2016-07-01,108314.863,134960.491,40943.25900000001,3076.06,67464.09600000005,103394.668,72057.58500000002,200933.0840000001,74432.02900000005,178425.0349999999,198311.421,21625.564,38243.38500000001,991.5690000000002,1243173.109
2016-08-01,109047.888,142130.6020000002,45149.79700000001,3285.84,71051.621,104740.843,70643.72300000001,204819.3049999999,79721.42400000003,159437.383,177587.071,22218.358,40184.543,1146.577,1231164.975
2016-09-01,108190.307,134415.3290000002,48066.858,3339.55,66746.97699999996,105101.257,65645.936,205809.5350000002,78887.18600000005,164634.162,190596.741,21824.687,38480.71299999999,1058.036,1232797.274
2016-10-01,102282.8529999999,133160.328,49627.787,2823.23,64552.61999999997,112349.542,66916.431,212073.2159999998,81078.09300000001,167456.612,211215.564,22198.197,39104.53800000002,1065.82,1265904.831
2016-11-01,103876.847,137600.22,51134.45700000002,3241.41,67732.32299999999,107280.061,65279.01100000001,216928.3479999999,82479.23300000001,168027.651,210741.9950000001,22489.35000000001,41318.308,1071.434,1279200.648
2016-12-01,88909.50299999995,140028.1849999999,57210.41400000001,3438.440000000001,54241.14299999995,98664.96400000001,64503.76900000001,217094.972,79420.83200000001,171601.998,185246.973,19993.994,39775.43299999999,1264.246,1221394.866
2017-01-01,92973.68399999999,142842.7579999999,59037.27100000002,3994.37,53861.458,99947.91500000012,69253.05100000005,226858.057,78826.41399999998,155702.934,151822.4740000001,18827.005,32738.36399999999,1201.02,1187886.775
2017-02-01,91189.076,139597.3940000001,52492.786,3532.35,63805.65600000002,103680.1009999999,59802.339,206708.734,72069.24099999999,154856.42,166703.3389999999,20862.083,34262.46800000001,1156.661,1170718.648
2017-03-01,108910.9889999999,151522.442,55664.33199999997,3686.44,71848.16199999998,108320.337,67399.29000000001,229890.0300000001,83257.588,171832.5150000001,234741.3050000001,23468.22199999999,41508.82000000001,1237.197,1353287.669
2017-04-01,107877.2059999999,140943.861,45634.94899999999,3013.5,65484.446,104083.627,64975.15900000001,217495.456,79209.4160000001,169178.825,220542.287,21953.07,36803.943,1034.672,1278230.417
2017-05-01,113717.1200000001,135164.736,42887.66399999998,3226.26,68812.77099999999,108597.3,67067.64900000002,220786.9289999999,81508.216,171937.59,226154.1629999999,23755.293,39687.233,1020.799,1304323.723
2017-06-01,107733.726,137010.5740000001,39278.96300000001,3024.86,68059.93200000002,108092.7939999999,65623.01800000003,214904.3009999999,78917.54199999999,159416.738,218159.81,23620.624,39785.19399999999,986.1759999999999,1264614.252
2017-07-01,108379.667,138001.653,43608.74300000001,3245.19,69658.46000000004,114396.524,60331.81999999999,208293.683,79572.88300000005,171935.9480000001,231958.083,24266.441,38210.06000000001,936.049,1292795.204
2017-08-01,104256.953,142617.114,45958.79,3316.3,70163.26899999996,113307.8209999999,66544.982,224363.2080000002,83302.28700000001,177181.3,236869.1900000001,25095.896,40017.95,1056.654,1334051.714
2017-09-01,94173.378,136552.9200000001,46394.63500000001,3161.08,69472.50600000007,112271.738,61922.14400000001,218381.019,82919.57199999997,175007.635,256643.2189999999,23364.136,38735.022,961.6589999999999,1319960.663
