id,currency,symbol,name,logo_url,status,price,price_date,price_timestamp,circulating_supply,max_supply,market_cap,market_cap_dominance,num_exchanges,num_pairs,num_pairs_unmapped,first_candle,first_trade,first_order_book,rank,rank_delta,high,high_timestamp,1d.volume,1d.price_change,1d.price_change_pct,1d.volume_change,1d.volume_change_pct,1d.market_cap_change,1d.market_cap_change_pct,platform_currency,first_priced_at
BCH,BCH,BCH,Bitcoin Cash,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/BCH.png,active,103.86540282,2022-06-30T00:00:00Z,2022-06-30T02:25:00Z,19104100,21000000,1984255031,0.0022,309,2520,136,2017-07-09T00:00:00Z,2017-07-27T00:00:00Z,2018-08-29T00:00:00Z,33,0,3717.43001193,2017-12-20T00:00:00Z,700497097.65,-1.40579914,-0.0134,-78466037.64,-0.1007,-26759809.22,-0.0133,,
VET,VET,VET,VeChain Thor,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/vet.png,active,0.022594112,2022-06-30T00:00:00Z,2022-06-30T02:25:00Z,72511146418,85985041177,1638324931,0.0018,84,227,2,2018-07-13T00:00:00Z,2018-07-13T00:00:00Z,2018-08-29T00:00:00Z,34,1,0.25460727,2021-04-18T00:00:00Z,368746654.73,-0.0010796224,-0.0456,31962354.84,0.0949,-78284656.34,-0.0456,,
FLOW2,FLOW2,FLOW,Flow,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/FLOW2.jpg,active,1.50432727,2022-06-30T00:00:00Z,2022-06-30T02:25:00Z,1036200000,1373338338,1558783916,0.0017,48,85,0,2021-01-27T00:00:00Z,2021-01-27T00:00:00Z,2021-01-27T00:00:00Z,35,-1,39.15375358,2021-03-04T00:00:00Z,75826609.39,-0.17947577,-0.1066,-22635378.38,-0.2299,-185972788.75,-0.1066,,2021-01-28T14:38:49.921753Z
FRAX,FRAX,FRAX,Frax,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/FRAX.jpg,active,1.00229878,2022-06-30T00:00:00Z,2022-06-30T02:24:00Z,1366914189,1366914189,1370056421,0.0015,18,116,6,2020-12-16T00:00:00Z,2020-12-16T00:00:00Z,2020-12-21T00:00:00Z,36,4,3.21049815,2020-12-17T00:00:00Z,24518369.02,0.0019056411,0.0019,8589191.19,0.5392,2604847.86,0.0019,ETH,2020-12-22T19:46:11.961151Z
APE7,APE7,APE,ApeCoin,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/APE7.jpeg,active,4.55798700,2022-06-30T00:00:00Z,2022-06-30T02:25:00Z,299531250,1000000000,1365259544,0.0015,77,136,4,2022-03-16T00:00:00Z,2022-03-17T00:00:00Z,2022-03-17T00:00:00Z,37,-1,23.79206822,2022-04-28T00:00:00Z,756712407.59,-0.47803899,-0.0949,-342479144.75,-0.3116,-143187617.61,-0.0949,ETH,2022-03-17T16:40:56.703528Z
HBAR,HBAR,HBAR,Hedera Hashgraph,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/HBAR.jpg,active,0.063522225,2022-06-30T00:00:00Z,2022-06-30T02:25:00Z,21252184397,50000000000,1349986037,0.0015,54,98,0,2019-09-17T00:00:00Z,2019-09-17T00:00:00Z,2019-09-17T00:00:00Z,38,-1,0.50524156,2021-09-15T00:00:00Z,64575591.14,-0.0030103316,-0.0452,2326273.86,0.0374,-63976121.37,-0.0452,,
SAND2,SAND2,SAND,The Sandbox,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/SAND2.svg,active,1.05455968,2022-06-30T00:00:00Z,2022-06-30T02:25:00Z,1258626081,3000000000,1327296316,0.0014,115,254,1,2020-08-09T00:00:00Z,2020-08-14T00:00:00Z,2020-08-11T00:00:00Z,39,-1,7.59301470,2021-11-28T00:00:00Z,705105473.63,-0.041026550,-0.0374,-144329759.61,-0.1699,-51637086.15,-0.0374,ETH,
MANA,MANA,MANA,Decentraland,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/mana.svg,active,0.85880051,2022-06-30T00:00:00Z,2022-06-30T02:25:00Z,1502018344,2193631727,1289934119,0.0014,183,437,3,2017-07-17T00:00:00Z,2017-07-17T00:00:00Z,2018-08-29T00:00:00Z,40,2,5.22479409,2021-11-25T00:00:00Z,360638686.27,-0.040704744,-0.0453,-52917958.55,-0.1280,-60959724.64,-0.0451,ETH,
XTZ,XTZ,XTZ,Tezos,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/xtz.svg,active,1.43933041,2022-06-30T00:00:00Z,2022-06-30T02:25:00Z,892156511,,1284107997,0.0014,133,461,229,2017-06-23T00:00:00Z,2017-06-23T00:00:00Z,2018-09-17T00:00:00Z,41,-2,10.52680807,2017-12-17T00:00:00Z,94293766.99,-0.10137430,-0.0658,-57019497.35,-0.3768,-90372927.23,-0.0658,,
ICP,ICP,ICP,Dfinity,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/ICP.jpg,active,5.30219485,2022-06-30T00:00:00Z,2022-06-30T02:25:00Z,241825549,483672458,1282206179,0.0014,66,119,0,2021-01-30T00:00:00Z,2021-05-06T00:00:00Z,2021-01-30T00:00:00Z,42,-1,455.07161156,2021-05-05T00:00:00Z,91713831.93,-0.28793861,-0.0515,-28021487.85,-0.2340,-69348527.18,-0.0513,,2021-03-24T00:11:30.852913Z
